category,amt,gender,city,state,zip,lat,long,city_pop,job,merch_lat,merch_long,is_fraud
personal_care,85.45,F,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",41.214552,-86.874168,NotFraud
food_dining,57.13,F,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,35.614887,-92.183553,NotFraud
health_fitness,24.84,F,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,32.575873,-102.60429,Fraud
home,10.07,F,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,38.715701,-74.855675,NotFraud
shopping_pos,661.5,F,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,38.65905,-103.747452,NotFraud
home,163.36,M,Cleveland,AL,35049,33.9778,-86.5598,3996,Aid worker,34.508834,-86.605898,NotFraud
personal_care,17.02,F,Coleman,TX,76834,31.8287,-99.427,5908,Radio producer,31.151726,-100.15623,NotFraud
health_fitness,25.6,M,Oxford,MI,48371,42.8223,-83.2829,24840,Agricultural consultant,42.296251,-82.789102,NotFraud
travel,1.48,F,Colton,WA,99113,46.5901,-117.1692,761,Chief Marketing Officer,47.413924,-116.58361,NotFraud
food_dining,66.89,M,New Boston,IL,61272,41.2153,-90.9879,1504,Manufacturing engineer,42.100262,-91.379586,NotFraud
shopping_net,3.27,F,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,40.04562,-79.642534,NotFraud
kids_pets,4.93,M,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,39.524554,-100.879527,NotFraud
misc_net,890.22,F,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,34.154798,-106.551531,NotFraud
shopping_pos,132.55,F,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,31.508282,-90.588312,NotFraud
personal_care,37.3,F,West Columbia,SC,29170,33.9568,-81.1405,52126,Chemical engineer,33.990014,-81.753803,NotFraud
food_dining,27.5,M,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,42.781022,-73.640812,NotFraud
shopping_net,9.2,F,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,39.088067,-85.274225,NotFraud
home,70.26,M,Tuscarora,MD,21790,39.2667,-77.5101,100,"Production assistant, television",39.815943,-77.798327,NotFraud
entertainment,19.26,F,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,33.773576,-96.173466,NotFraud
shopping_net,3.5,F,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",31.343194,-87.296612,NotFraud
home,107.96,F,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",31.297425,-96.383892,NotFraud
shopping_pos,3.76,M,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,38.623149,-76.64754,NotFraud
misc_pos,6.97,M,Ballwin,MO,63021,38.577,-90.5255,92608,"Engineer, communications",39.427676,-90.506861,NotFraud
kids_pets,8.2,M,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",43.13753,-108.696889,NotFraud
health_fitness,81.42,F,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,39.659465,-93.14789,NotFraud
kids_pets,18.11,F,University,MS,38677,34.3396,-89.5736,4198,Curator,35.077711,-89.44373,NotFraud
home,34.17,F,Tomales,CA,94971,38.2427,-122.9145,337,Occupational psychologist,37.270803,-123.324627,NotFraud
health_fitness,12.56,F,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,39.496424,-85.276884,NotFraud
home,36.27,F,Coleman,TX,76834,31.8287,-99.427,5908,Radio producer,32.134887,-99.948727,NotFraud
shopping_pos,1.56,F,Texarkana,AR,71854,33.431,-93.8765,36438,Surgeon,33.708138,-94.785528,NotFraud
home,71.93,M,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,35.104535,-118.164258,NotFraud
travel,1.86,M,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,37.741361,-121.459859,NotFraud
shopping_pos,451.33,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,41.195334,-73.524213,NotFraud
personal_care,9.38,F,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,47.359481,-87.619068,NotFraud
personal_care,7.11,F,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,46.826903,-85.608414,NotFraud
home,45.39,F,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,46.394859,-123.376429,NotFraud
personal_care,162.53,F,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,40.313283,-73.954201,NotFraud
shopping_pos,4.85,M,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,38.442544,-82.825418,NotFraud
personal_care,46.35,F,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,40.630466,-80.145908,NotFraud
home,175.48,F,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,39.36314,-105.229643,NotFraud
entertainment,124.68,M,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,39.490987,-119.154617,NotFraud
shopping_pos,97.43,F,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,49.578084,-92.651077,NotFraud
personal_care,15.57,M,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,43.288393,-75.944935,NotFraud
health_fitness,123.37,F,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,41.149439,-91.017673,NotFraud
entertainment,106.9,F,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",30.252492,-90.845853,NotFraud
kids_pets,62.47,M,Cross Plains,TX,76443,32.1482,-99.1872,1897,Chief Operating Officer,31.603761,-99.24148,NotFraud
home,59.55,F,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,33.062466,-96.295968,NotFraud
health_fitness,16.54,M,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,41.170608,-78.413905,NotFraud
home,79.67,F,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,39.973248,-104.75184,NotFraud
entertainment,164.25,F,Wheaton,MO,64874,36.7651,-94.0492,760,Production manager,36.493065,-93.389725,NotFraud
kids_pets,20.29,F,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,40.569935,-80.657791,NotFraud
home,150.87,F,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",36.809194,-81.621248,NotFraud
health_fitness,2.79,F,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",38.181104,-82.623663,NotFraud
health_fitness,32.4,F,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,44.874463,-92.785045,NotFraud
home,68.44,F,Winslow,AR,72959,35.8312,-94.1187,2786,Musician,35.16242,-95.057442,NotFraud
entertainment,104.02,M,June Lake,CA,93529,37.7773,-119.0825,633,Health service manager,37.919816,-119.855752,NotFraud
shopping_pos,184.42,M,Sula,MT,59871,45.8433,-113.8748,218,"Therapist, horticultural",46.818915,-112.877985,NotFraud
home,60.05,F,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,33.032207,-80.368633,NotFraud
entertainment,99.27,F,Laramie,WY,82072,41.4247,-105.4781,35371,"Pilot, airline",41.394173,-105.658753,NotFraud
entertainment,129.48,F,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",41.323565,-86.529445,NotFraud
health_fitness,4.7,M,Stillwater,OK,74074,36.1043,-97.0609,55345,Cabin crew,36.308957,-96.473696,NotFraud
shopping_pos,25.91,F,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,34.060192,-77.181481,NotFraud
personal_care,6.88,F,Burrton,KS,67020,38.0261,-97.6666,1689,Gaffer,38.108027,-96.78434,NotFraud
home,52.09,F,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,42.819409,-87.954413,NotFraud
grocery_pos,50.84,F,Providence,RI,2908,41.8383,-71.4377,203571,"Nurse, children's",41.19061,-70.4449,NotFraud
entertainment,17.15,M,West Decatur,PA,16878,40.9493,-78.3129,1762,Armed forces logistics/support/administrative officer,40.602382,-79.307912,NotFraud
travel,1214.23,F,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,39.028042,-121.3438,NotFraud
shopping_pos,8.04,F,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,39.009818,-87.024597,NotFraud
health_fitness,3.06,F,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,48.067806,-121.374405,NotFraud
entertainment,77.47,F,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,47.664732,-93.533078,NotFraud
kids_pets,103.44,F,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,41.913792,-73.757969,NotFraud
home,116.15,M,North Judson,IN,46366,41.2244,-86.6966,5791,"Doctor, general practice",40.298349,-86.207865,NotFraud
shopping_net,124.13,F,Lakeland,FL,33811,27.9865,-82.0139,237282,Clothing/textile technologist,28.120124,-81.136333,NotFraud
home,37.65,F,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",35.804337,-96.698969,NotFraud
misc_pos,3.87,F,Shedd,OR,97377,44.453,-123.1065,917,Radio broadcast assistant,45.08263,-122.1651,NotFraud
personal_care,28.54,F,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,37.809747,-92.935809,NotFraud
food_dining,51.9,F,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,45.398585,-86.814308,NotFraud
personal_care,7.87,F,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,34.331426,-85.884453,NotFraud
entertainment,17.2,F,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,33.108569,-112.386722,NotFraud
entertainment,23.85,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,39.765182,-73.118515,NotFraud
kids_pets,127.27,F,Gibsonville,NC,27249,36.1183,-79.5685,12486,Arboriculturist,36.517288,-79.666078,NotFraud
entertainment,88.19,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,42.82065,-73.715135,NotFraud
home,42.03,M,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,42.582359,-112.391223,NotFraud
home,58.73,F,Bridgeport,NJ,8014,39.8016,-75.3478,504,"Engineer, control and instrumentation",39.288202,-75.74442,NotFraud
misc_net,780.52,M,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,42.461127,-91.147148,Fraud
home,52.65,F,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,38.528897,-75.877513,NotFraud
misc_pos,4.84,M,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,41.268298,-78.512249,NotFraud
kids_pets,323.1,M,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",35.876422,-91.617112,NotFraud
personal_care,64.92,F,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,33.356391,-111.13776,NotFraud
shopping_pos,4.32,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,40.227333,-72.735559,NotFraud
home,36.74,M,Armonk,NY,10504,41.136,-73.7009,7987,Television/film/video producer,41.372222,-73.03297,NotFraud
food_dining,95.52,M,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",26.290184,-81.657622,NotFraud
travel,7.73,M,Alton,IA,51003,42.9782,-96.0173,1700,"Engineer, land",43.777126,-96.973986,NotFraud
shopping_net,15.56,F,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,39.011823,-103.907656,NotFraud
shopping_pos,5.75,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,46.254213,-87.23773,NotFraud
home,21.4,F,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,47.945075,-96.681984,NotFraud
food_dining,76.08,F,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,39.066923,-93.520018,NotFraud
shopping_pos,8.13,M,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",45.02148,-86.177307,NotFraud
entertainment,620.33,M,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,42.771834,-90.158365,Fraud
shopping_pos,5.5,M,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,34.651767,-118.597077,NotFraud
home,81.81,M,Clune,PA,15727,40.5503,-79.3237,168,Race relations officer,41.128735,-78.698984,NotFraud
shopping_net,1077.69,M,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31.204974,-90.261595,Fraud
health_fitness,160.83,F,Rule,TX,79548,33.0771,-99.959,932,"Physicist, medical",33.379737,-100.881275,NotFraud
shopping_net,8.36,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,42.960143,-74.47318,NotFraud
entertainment,163.38,F,Newhall,CA,91321,34.3795,-118.523,34882,Health physicist,33.496791,-117.65414,NotFraud
health_fitness,30.42,M,Cass,WV,24927,38.388,-79.9906,365,Special effects artist,38.885649,-79.775783,NotFraud
health_fitness,9.45,F,Duncan,MS,38740,34.047,-90.7652,466,Trading standards officer,33.586628,-90.147751,NotFraud
kids_pets,64.71,F,Glen Rock,PA,17327,39.7813,-76.7477,7565,Insurance claims handler,40.105726,-77.458888,NotFraud
misc_pos,144.8,F,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",36.740835,-83.700286,NotFraud
food_dining,5.28,F,Hedley,TX,79237,34.8698,-100.6806,513,Early years teacher,35.569789,-101.227498,NotFraud
food_dining,57.81,M,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,40.724685,-81.098637,NotFraud
kids_pets,88.05,F,Greenwood,IN,46143,39.596,-86.1309,78968,Financial adviser,38.658908,-86.522101,NotFraud
personal_care,25.45,F,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,41.034302,-73.101279,NotFraud
shopping_pos,59.64,F,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,39.312081,-96.322655,NotFraud
health_fitness,64.74,F,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,48.487999,-111.970436,NotFraud
kids_pets,48.89,M,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,42.650466,-82.504264,NotFraud
kids_pets,1.53,M,Cecilton,MD,21913,39.4015,-75.8654,663,Podiatrist,38.475409,-76.20651,NotFraud
entertainment,60.66,F,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",40.278126,-88.178645,NotFraud
entertainment,180.68,F,Providence,RI,2908,41.8383,-71.4377,203571,"Nurse, children's",42.583428,-72.318674,NotFraud
shopping_net,3.97,M,Arlington,VA,22213,38.8954,-77.1633,207410,Mudlogger,39.394695,-77.023831,NotFraud
entertainment,17.6,F,Trenton,TX,75490,33.4235,-96.3398,2211,"Investment banker, operational",33.605576,-95.502734,NotFraud
home,139.17,M,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,28.337501,-95.054358,NotFraud
travel,6.26,F,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,40.148073,-94.743094,NotFraud
shopping_net,1.06,M,Heidelberg,MS,39439,31.882,-88.9981,4573,"Exhibitions officer, museum/gallery",30.925885,-88.02267,NotFraud
food_dining,79.2,F,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,26.217698,-99.41238,NotFraud
shopping_pos,5.17,F,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,27.046138,-81.453939,NotFraud
personal_care,81.08,F,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,37.233517,-76.96799,NotFraud
shopping_net,6.87,F,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,40.703071,-100.320499,NotFraud
entertainment,79.8,F,Kingsport,TN,37663,36.4715,-82.4834,87124,Warden/ranger,36.302986,-83.161307,NotFraud
home,28.94,F,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,39.248628,-78.003804,NotFraud
shopping_pos,51.78,F,Ehrhardt,SC,29081,33.1044,-81.0221,1352,"Engineer, materials",33.170028,-80.097428,NotFraud
food_dining,45.48,M,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,34.745455,-85.969234,NotFraud
entertainment,33.89,F,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,39.836744,-105.012661,NotFraud
health_fitness,32.41,F,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,42.066165,-83.129727,NotFraud
food_dining,2.34,F,Manquin,VA,23106,37.7184,-77.186,976,"Engineer, automotive",37.433598,-77.931429,NotFraud
food_dining,58.45,F,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,39.307833,-96.212926,NotFraud
home,141.81,F,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,35.370737,-92.410343,NotFraud
kids_pets,14.13,F,Sturgis,MS,39769,33.357,-89.0473,1923,Medical physicist,33.907198,-89.950835,NotFraud
health_fitness,77.28,M,Union,WV,24983,37.5802,-80.5248,2443,Chartered public finance accountant,38.318768,-79.627593,NotFraud
kids_pets,15.91,M,Mount Hope,AL,35651,34.4793,-87.4769,1312,"Librarian, academic",35.240045,-88.284711,NotFraud
health_fitness,83.11,F,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,31.23449,-97.158043,NotFraud
personal_care,17.03,M,North Augusta,SC,29860,33.6028,-81.9748,46944,Secondary school teacher,33.74798,-81.988378,NotFraud
personal_care,10.21,M,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,28.874604,-99.275939,NotFraud
kids_pets,52.02,M,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,35.498679,-102.769704,NotFraud
shopping_pos,12.49,F,Creedmoor,NC,27522,36.1124,-78.6476,12335,Chief Strategy Officer,35.154627,-77.66502,NotFraud
travel,3.76,F,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",42.721235,-70.656979,NotFraud
shopping_net,1.57,F,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",36.063793,-96.049422,NotFraud
home,4.59,F,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",37.013489,-83.380302,NotFraud
food_dining,6.36,F,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),34.88185,-98.189968,NotFraud
home,45.83,F,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",33.331558,-116.760564,NotFraud
entertainment,76.87,M,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),40.255498,-109.460859,NotFraud
kids_pets,14.18,F,Cisco,IL,61830,39.9972,-88.6962,478,Landscape architect,39.997598,-88.955137,NotFraud
food_dining,66.1,M,Beasley,TX,77417,29.479,-95.9681,2457,Trading standards officer,30.275073,-95.783158,NotFraud
food_dining,17.01,F,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",29.909577,-97.294409,NotFraud
shopping_net,4.05,M,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",44.715108,-69.160879,NotFraud
food_dining,52.55,M,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,39.136084,-79.361312,NotFraud
shopping_pos,9.38,F,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",33.921377,-117.402652,NotFraud
personal_care,6.6,F,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,43.710187,-115.580129,NotFraud
kids_pets,57.77,M,Bristow,IN,47515,38.1981,-86.6821,965,Horticultural therapist,39.094878,-87.564032,NotFraud
health_fitness,68.81,F,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,40.970571,-101.706571,NotFraud
personal_care,43.41,F,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,48.465994,-117.303629,NotFraud
entertainment,18.52,F,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,38.175186,-96.374792,NotFraud
kids_pets,13.62,M,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28.301154,-82.299178,NotFraud
personal_care,8.84,F,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,47.346802,-112.735469,NotFraud
shopping_net,3.11,F,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,43.675516,-83.951031,NotFraud
entertainment,74.93,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,43.252199,-78.991959,NotFraud
personal_care,2.63,F,Stittville,NY,13469,43.2229,-75.2899,847,Systems analyst,43.584026,-76.268142,NotFraud
travel,7.88,F,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,34.393475,-77.520225,NotFraud
kids_pets,29.14,F,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,38.682768,-104.403681,NotFraud
health_fitness,16.49,F,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",40.630712,-123.773503,NotFraud
entertainment,19.09,F,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),33.242232,-82.126115,NotFraud
shopping_pos,7.32,F,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,31.03642,-103.320959,NotFraud
shopping_pos,842.65,F,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,31.315782,-102.73639,Fraud
home,146.57,M,Whittemore,IA,50598,43.0261,-94.4064,912,Optometrist,43.545381,-94.038841,NotFraud
health_fitness,7.06,F,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",43.964569,-85.347536,NotFraud
kids_pets,107.39,F,Bristol,PA,19007,40.1159,-74.8536,21125,"Administrator, charities/voluntary organisations",39.212382,-73.892324,NotFraud
home,53.54,M,South Londonderry,VT,5155,43.1699,-72.8515,828,Scientific laboratory technician,42.745821,-72.472512,NotFraud
home,75.46,F,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",37.729812,-83.889285,NotFraud
entertainment,139.32,F,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,40.801664,-74.93697,NotFraud
travel,5.61,F,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",29.207749,-97.902637,NotFraud
kids_pets,30.54,M,Ashfield,MA,1330,42.5232,-72.811,1506,"Production assistant, radio",42.176739,-72.182625,NotFraud
health_fitness,9.83,F,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,29.168813,-85.586777,NotFraud
home,253.8,F,Lakeport,CA,95453,39.047,-122.9328,11256,Podiatrist,39.291369,-122.007855,NotFraud
health_fitness,60.82,M,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",43.203503,-111.433506,NotFraud
personal_care,12.74,F,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",43.715487,-73.375939,NotFraud
health_fitness,63.4,M,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,42.212244,-78.768405,NotFraud
home,129.63,F,Warren,OH,44483,41.2639,-80.8164,75903,Magazine features editor,41.89547,-81.041396,NotFraud
travel,569.96,M,Sula,MT,59871,45.8433,-113.8748,218,"Therapist, horticultural",45.708966,-114.2057,NotFraud
food_dining,60.7,M,Oaks,PA,19456,40.1334,-75.4536,737,Oceanographer,39.809502,-75.95922,NotFraud
shopping_pos,125.84,M,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,39.259502,-82.881189,NotFraud
home,97.79,M,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,44.644659,-103.617219,NotFraud
entertainment,82.16,M,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,30.043796,-92.815717,NotFraud
home,65.41,F,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",30.077098,-90.284191,NotFraud
kids_pets,127.01,M,Cochranton,PA,16314,41.5205,-80.0573,5507,Retail merchandiser,41.904008,-80.207823,NotFraud
shopping_net,2.29,F,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,38.220979,-123.181414,NotFraud
home,24.36,M,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,42.255306,-79.725207,NotFraud
personal_care,22.05,M,Iliff,CO,80736,40.7692,-103.0968,648,Community arts worker,40.370865,-104.066763,NotFraud
shopping_pos,5.22,F,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,26.739775,-81.270224,NotFraud
health_fitness,8.33,F,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,33.386275,-85.931706,NotFraud
